Timestamp/Checkpoint_Reached/Button_Void/X_Controller_Input/Y_Controller_Input/X_Head_Position/Y_Head_Position/Z_Head_Position/X_Head_Tilt/Y_Head_Tilt/Z_Head_Tilt
2024.12.16 16:08:29:42773/0/1/0/0/115,135/342,5464/-272,7562/351,0289/127,8248/0,21241
2024.12.16 16:08:29:46164/0/1/0/0/115,1352/342,5464/-272,756/351,0175/127,8239/0,2377711
2024.12.16 16:08:29:49455/0/1/0/0/115,1351/342,5465/-272,7562/351,0126/127,8351/0,2425487
2024.12.16 16:08:29:52800/0/1/0/0/115,1351/342,5465/-272,7563/351,0085/127,842/0,2509952
2024.12.16 16:08:29:56194/0/1/0/0/115,1351/342,5464/-272,7563/351,026/127,8361/0,2450751
2024.12.16 16:08:29:59585/0/1/0/0/115,135/342,5464/-272,7561/351,0244/127,8348/0,2420036
2024.12.16 16:08:29:62920/0/1/0/0/115,135/342,5464/-272,756/351,0139/127,8366/0,2325521
2024.12.16 16:08:29:66311/0/1/0/0/115,1352/342,5464/-272,756/351,0219/127,8531/0,2474781
2024.12.16 16:08:29:69602/0/1/0/0/115,135/342,5464/-272,7562/351,0031/127,8225/0,2374663
2024.12.16 16:08:29:72894/0/1/0/0/115,1353/342,5464/-272,7562/351,0189/127,8253/0,2472063
2024.12.16 16:08:29:76285/0/1/0/0/115,1351/342,5464/-272,7562/351,0064/127,82/0,2516683
2024.12.16 16:08:29:78479/0/1/0/0/115,1351/342,5464/-272,7563/351,0092/127,8179/0,2426366
2024.12.16 16:08:29:80773/0/1/0/0/115,1354/342,5464/-272,756/351,0105/127,8164/0,2465841
2024.12.16 16:08:29:83011/0/1/0/0/115,1351/342,5464/-272,7561/351,0288/127,8175/0,2620338
2024.12.16 16:08:29:85205/0/1/0/0/115,1349/342,5464/-272,7562/351,0208/127,827/0,2391489
2024.12.16 16:08:29:87499/0/1/0/0/115,1355/342,5465/-272,756/351,0103/127,8313/0,2401247
2024.12.16 16:08:29:89693/0/1/0/0/115,1352/342,5464/-272,7562/351,0265/127,8291/0,2258259
2024.12.16 16:08:29:91887/0/1/0/0/115,1351/342,5464/-272,7561/351,0174/127,8423/0,246131
2024.12.16 16:08:29:94112/0/1/0/0/115,1355/342,5464/-272,7562/351,0224/127,827/0,2365175
2024.12.16 16:08:29:96406/0/1/0/0/115,1352/342,5464/-272,7561/351,0127/127,8362/0,245423
2024.12.16 16:08:29:98600/0/1/0/0/115,1351/342,5464/-272,7562/351,012/127,8171/0,2445167
2024.12.16 16:08:30:01293/0/1/0/0/115,1355/342,5465/-272,7562/351,0166/127,8091/0,2454774
2024.12.16 16:08:30:03886/0/1/0/0/115,1352/342,5464/-272,7562/351,0085/127,8168/0,2624736
2024.12.16 16:08:30:06479/0/1/0/0/115,135/342,5464/-272,7563/351,008/127,8248/0,2515049
2024.12.16 16:08:30:08973/0/1/0/0/115,1354/342,5464/-272,7561/350,999/127,8392/0,2415576
2024.12.16 16:08:30:11466/0/1/0/0/115,1352/342,5464/-272,7562/350,9921/127,8205/0,2598773
2024.12.16 16:08:30:14059/0/1/0/0/115,1351/342,5464/-272,7563/351,008/127,8228/0,2362942
2024.12.16 16:08:30:15755/0/1/0/0/115,1354/342,5465/-272,756/351,0053/127,8224/0,2469891
2024.12.16 16:08:30:17550/0/1/0/0/115,135/342,5464/-272,7562/350,9921/127,814/0,2448379
2024.12.16 16:08:30:19345/0/1/0/0/115,1352/342,5462/-272,7563/351,0067/127,8289/0,2540761
2024.12.16 16:08:30:21040/0/1/0/0/115,1354/342,5463/-272,7562/351,0132/127,823/0,2367662
2024.12.16 16:08:30:23166/0/1/0/0/115,135/342,5463/-272,7561/351,01/127,8289/0,238243
2024.12.16 16:08:30:25468/0/1/0/0/115,135/342,5464/-272,7562/351,0219/127,8239/0,2419175
2024.12.16 16:08:30:27662/0/1/0/0/115,1349/342,5464/-272,7562/351,0087/127,8526/0,2233905
2024.12.16 16:08:30:29856/0/1/0/0/115,1351/342,5463/-272,7562/351,0125/127,8169/0,2470845
2024.12.16 16:08:30:32150/0/1/0/0/115,1349/342,5464/-272,7563/351,0005/127,8315/0,239191
2024.12.16 16:08:30:34344/0/1/0/0/115,135/342,5464/-272,7563/351,0038/127,8345/0,2362699
2024.12.16 16:08:30:36538/0/1/0/0/115,135/342,5464/-272,7563/351,0024/127,8417/0,2351927
2024.12.16 16:08:30:38832/0/1/0/0/115,135/342,5464/-272,7563/350,9955/127,8127/0,2486776
2024.12.16 16:08:30:41129/0/1/0/0/115,1353/342,5464/-272,7563/351,0009/127,8218/0,2248178
2024.12.16 16:08:30:43320/0/1/0/0/115,135/342,5464/-272,7563/350,9986/127,8191/0,229516
2024.12.16 16:08:30:45515/0/1/0/0/115,1349/342,5464/-272,7563/351,0339/127,8172/0,2353879
2024.12.16 16:08:30:47808/0/1/0/0/115,1346/342,5464/-272,7561/350,9953/127,8162/0,2476319
2024.12.16 16:08:30:50002/0/1/0/0/115,1349/342,5463/-272,7564/350,9927/127,8213/0,2290646
2024.12.16 16:08:30:52296/0/1/0/0/115,1349/342,5463/-272,7563/351,002/127,821/0,2402932
2024.12.16 16:08:30:54490/0/1/0/0/115,1348/342,5463/-272,7564/351,0144/127,8194/0,2399194
2024.12.16 16:08:30:56685/0/1/0/0/115,1347/342,5464/-272,7563/351,0012/127,8232/0,2305429
2024.12.16 16:08:30:59078/0/1/0/0/115,1348/342,5463/-272,7563/351,007/127,8223/0,2306405
